question,answer,img_id,type
nhóm người đang chơi trò chơi điện thoại ở đâu,phòng,538518,3
những gì neo đậu trong hồ gần một dãy núi,con thuyền,451090,0
những gì được trưng bày với vật dụng nha khoa tại hội chợ,xe ô tô,560474,0
cậu bé đang giữ gì vào mặt anh ta,donut,514222,0
màu của tấm thảm là gì,màu đỏ,552819,2
màu của chiếc bình là gì,màu trắng,325799,2
người đàn ông đứng ở đâu khi một chuyến tàu đi qua,trạm,81544,3
những gì giữ một cái gối trong tay,gấu,571678,0
những gì trong phòng ở bên cạnh nhau,nhà vệ sinh,517600,0
hai người cầm gì đi trong mưa,chiếc ô,365170,0
người đàn ông nấu ăn ở đâu,phòng bếp,146961,3
màu của tủ lạnh là gì,màu đen,87126,2
cái gì chia ra cho thấy những bát thức ăn khác nhau,bức ảnh,346138,0
người đó cầm gì với một số thức ăn trên đó,đĩa ăn,360600,0
cái gì đang ngồi trên vỉa hè,vòi,471350,0
cái gì có một cái bàn gỗ và một cái mũ,phòng,463134,0
anh ấy đang đánh răng ở đâu,gương,388894,3
những gì ăn cỏ bên cạnh làng teton,con ngựa,380892,0
màu của vali là gì,màu đen,438448,2
có bao nhiêu con mèo đang ngồi bên dưới những chồng ghế trong một tòa nhà,hai,208011,1
màu của dấu hiệu là gì,màu xanh dương,419656,2
những gì giữ thức ăn mexico được bao phủ trong phô mai,đĩa ăn,458510,0
tàu nào tiếp cận nền tảng tàu hỏa,đường sắt,409856,0
cậu bé đang đánh răng ở đâu,bồn tắm,276124,3
người đàn ông đang ở đâu,gian hàng,526089,3
những gì bên cạnh những chiếc lá rụng và những cây lớn trơ trụi,băng ghế,383026,0
có bao nhiêu người mỉm cười bên cạnh nhau khi cầm vợt tennis,bốn,122355,1
bao nhiêu người trượt tuyết trong trang phục trượt tuyết trò chuyện trên tuyết,hai,498706,1
màu sắc của hoa lan là gì,màu cam,90140,2
màu của xe là gì,màu đỏ,59384,2
màu của xe là gì,màu xanh dương,455198,2
màu của bầu trời là gì,màu xanh dương,468182,2
màu sắc của cái dù là gì,màu đỏ,239828,2
người đàn ông tập dùng điện thoại di động của mình ở đâu,xe điện ngầm,241126,3
màu sắc của một,màu xanh dương,73996,2
con mèo màu xám đậm nằm ở đâu,băng ghế,554731,3
điều gì làm cho bánh rán tươi trên trang web cho khách hàng,cửa hàng,450399,0
người đàn ông ở đâu,phòng ngủ,367398,3
có bao nhiêu đĩa bánh pizza với các lớp phủ khác nhau và một chồng đĩa trắng ở giữa,hai,7787,1
những gì đang đứng bên ngoài gần một số tảng đá,hươu cao cổ,551665,0
những gì đứng trên cánh đồng và ăn cỏ,con ngựa,529981,0
màu của chiếc đĩa là gì,màu cam,342724,2
bức tượng đeo gì,cà vạt,574411,0
những gì chứa đầy đồ nội thất và một cửa sổ được bao phủ trong rèm cửa,phòng,402639,0
hai con chó đứng ở đâu bên ngoài,hồ bơi,238915,3
những gì nằm trên đường ray,động cơ,560111,0
màu của xe buýt là gì,màu đỏ,326583,2
màu của xe buýt là gì,màu đen,114204,2
màu của áo là gì,màu đỏ,579798,2
ba bông hoa ở đâu,lọ cắm hoa,343445,3
màu sắc của tủ quần áo là gì,màu vàng,343999,2
có bao nhiêu chàng trai mang theo ván lướt sóng khi họ cùng nhau đi bộ xuống bãi biển,ba,107753,1
người phụ nữ đang ngồi và làm việc ở đâu,gian hàng,519635,3
màu của mặt tiền cửa hàng là gì,màu xanh dương,467318,2
những gì nằm trên nhánh mỏng gần quả mọng,con chim,389957,0
một con mèo màu cam và trắng đang ngồi ở đâu,cái ghế,331530,3
màu của chiếc bình là gì,màu xanh lá,556763,2
những gì chứa đầy thực phẩm được trình bày nghệ thuật,dĩa,567898,0
bên trong bát bông cải xanh là gì,cái nĩa,509855,0
con chó bắt một cái dĩa hàng không,sân,407809,3
có bao nhiêu con bò trắng đang ngồi trong khu trang trại,hai,518363,1
hai người phụ nữ giữ gì với một hình ảnh trên đó,bánh,479213,0
người đàn ông đang làm việc chạm khắc một cây gậy bóng chày ở đâu,cửa tiệm,114561,3
máy bay mèo con diều hâu đậu ở đâu,ga-ra,506534,3
màu của lá là gì,màu xanh lá,200796,2
có gì xếp hàng ở bến cảng,con thuyền,361085,0
những gì chứa đầy rau và nước dùng trắng,bát,484069,0
màu của xe máy là gì,màu xanh dương,574739,2
có bao nhiêu người trong dãy phòng đang đặt ra sau một số bát phục vụ,hai,30387,1
món tôm và bông cải xanh được phục vụ ở đâu,bát,372871,3
những gì đang dựa vào một chuyến tàu rỉ sét cũ,xe đạp,495349,0
có bao nhiêu mèo tabby ngồi trên giường gần máy tính xách tay hiển thị một bộ phim,ba,310331,1
màu của ánh sáng là gì,màu đỏ,81841,2
màu của tường là gì,màu xám,127921,2
màu của bảng là gì,màu vàng,561715,2
bóng chày bị bắt ở đâu,găng tay,106331,3
có bao nhiêu đĩa bánh pizza xếp thành một hàng,bốn,510564,1
thứ gì đang cọ xát trên cây bên cạnh hai con hươu cao cổ,hươu cao cổ,355860,0
cái gì được đặt trên đĩa với một cái bánh quy giòn,cam,574796,0
màu của áo là gì,màu xanh dương,458960,2
có bao nhiêu máy bay đang bay trong hình thành trên bầu trời,bốn,506371,1
người phụ nữ đang chuẩn bị thức ăn ở đâu,phòng bếp,467297,3
có bao nhiêu con ngựa vằn đang đứng trên một cánh đồng lúa mì cao,năm,269206,1
những gì đỗ ở giữa một đường phố phủ một miếng vải,xe đạp,390348,0
những gì đỗ gần bộ cầu thang gạch,xe máy,537611,0
người phụ nữ đang ngồi ở đâu,tủ lạnh,465734,3
những gì đánh hơi không khí gần một tách cà phê,con chó,521348,0
những gì chứa đầy xe buýt màu xanh và trắng,cầu,364919,0
con voi vươn qua hàng rào về phía một đứa trẻ làm gì,thân cây,350897,0
cặp vợ chồng nói chuyện ở đâu,đường phố,419296,3
những gì đang bay trong không khí trong khi ba người đang xem,diều,494144,0
những gì nằm trên thảm đỏ,xe đạp,530220,0
màu sắc của chiếc váy là gì,màu trắng,198788,2
những gì được neo đậu dưới nước và một số ngọn đồi,con thuyền,517425,0
cậu bé đang ngồi ở đâu,chậu,18542,3
màu của con mèo là gì,màu xám,234293,2
những gì nằm trên tường,cây,557884,0
màu của con mèo là gì,màu nâu,381047,2
cậu bé và một cô gái nấu ăn ở đâu,phòng bếp,161567,3
cái gì đang ngồi trong một công viên cây xanh trống rỗng,băng ghế,371155,0
đầu bếp chuẩn bị thức ăn ở đâu,phòng bếp,310562,3
con gấu nào đang đẻ trên cánh đồng gần một tảng đá,gấu trúc,536517,0
cái chăn đang ngồi dưới cửa sổ phòng ngủ là gì?,giường,415619,0
màu của món ăn là gì,màu xanh lá,294775,2
có bao nhiêu người đàn ông đang cầm chuối và tạo dáng chụp ảnh,ba,522771,1
đứa trẻ đang giữ một chiếc ô màu cam ở đâu,vòi hoa sen,46674,3
có bao nhiêu phụ nữ đang nằm trên hai chiếc giường khách sạn,ba,100579,1
nhóm người xem có bao nhiêu chân rô bốt,sáu,456184,1
có bao nhiêu mét đậu xe được hiển thị trong tuyết bên cạnh một lề đường,hai,236174,1
gấu nhồi bông được đặt ở đâu,cái rổ,545364,3
những gì chứa đầy những chiếc thuyền buồm vào một ngày nắng,bến du thuyền,340472,0
những gì đỗ trên đường phố với một vài người xung quanh nó,xe buýt,447569,0
chuối và cam được đặt cùng với những con bướm trên cái gì,đĩa ăn,383341,0
có bao nhiêu người đàn ông xung quanh bàn với thức ăn trên đó,năm,86668,1
có bao nhiêu người đàn ông xếp hàng trên ván trượt trong rất nhiều,năm,15919,1
có bao nhiêu hộp nhựa đựng đầy rau củ đã cắt,sáu,459463,1
người đàn ông đang chơi một trò chơi thể chất ở đâu,phòng,404395,3
những gì đang nằm trên sàn nhà vào một ngày nắng,con voi,566538,0
có bao nhiêu đường có biển báo lỗi đang chỉ về bên trái,một,146563,1
có bao nhiêu biển báo đường phố trong một khu dân cư,ba,317120,1
xe taxi dừng ở đâu,đường phố,277048,3
hai hàng xe máy xếp ở đâu,đường phố,216840,3
màu của bàn chải là gì,màu vàng,8747,2
màu của chiếc đĩa là gì,màu trắng,366290,2
cái gì đậu trên cành cây,con chim,337139,0
trên đĩa trắng có bao nhiêu bánh hotdog phủ cà chua,ba,136962,1
đồ nội thất gồm sàn và tường gỗ ở đâu,phòng ngủ,155869,3
có bao nhiêu người đàn ông đang ngồi ở bàn với cái micro trước mặt họ,ba,523995,1
có bao nhiêu chuyến tàu cạnh nhau tại một ga đường sắt,ba,440346,1
có bao nhiêu hộp bánh rán các loại trên bàn,bốn,17985,1
cô gái tóc vàng đeo kính râm và cười tươi ăn gì,sandwich,563909,0
màu của bầu trời là gì,màu xanh dương,47692,2
điện thoại di động nằm ở đâu,trạm,71507,3
có bao nhiêu người đàn ông đang ngồi dưới ô trên vỉa hè,hai,40083,1
con chó nhỏ nằm ở đâu,vali,202186,3
những gì nằm trên bề mặt lát đá,xe máy,346259,0
những chiếc bánh rán được chứa ở đâu,hộp,238562,3
người đàn ông nhảy lên khi chơi game ở đâu,phòng,10205,3
màu của phòng tắm là gì,màu trắng,562849,2
những gì được bật tại bàn,máy vi tính,494427,0
bồn tắm trắng đang đặt ở đâu,phòng tắm,240175,3
màu của nền là gì,màu đen,147782,2
những gì chuẩn bị dừng lại ở trạm xe buýt vào ban đêm,xe buýt,542079,0
màu của con con là gì,màu nâu,504280,2
gặm cỏ trong mặt đất với cỏ rải rác,ngựa rằn,539129,0
có bao nhiêu bảng chỉ đường được ẩn sau cột điện nhìn ra một tòa nhà trang nghiêm,một,212675,1
những gì được trang bị nội thất màu tối,phòng,415949,0
những gì nằm trên giường trong một ngôi nhà đồ chơi,đồ chơi,577077,0
hai chiếc bánh với một người đàn ông đang cắt một chiếc ở đâu,hộp,416875,3
một người phụ nữ lớn tuổi đang rán một số bánh rán ở đâu,chảo,487349,3
màu của ghế là gì,màu tía,60140,2
những gì treo bên cạnh lò pizza,mái chèo,533281,0
đang ngồi ngoài cửa hàng trên bãi cỏ,xe máy,342515,0
một người phụ nữ châu á đang chụp ảnh tự sướng ở đâu,gương,237923,3
những gì đang nằm trên mặt đất,hươu cao cổ,442894,0
cặp vợ chồng ở đâu,con thuyền,469301,3
phòng tắm này nhỏ và có những gì,nhà vệ sinh,439398,0
những gì chứa đầy croissant với hotdogs ở giữa,cái mâm,538236,0
có bao nhiêu con hươu cao cổ đang đứng cùng nhau trên cánh đồng với hai con tê giác ở phía sau,ba,414850,1
pizza với các phần khác nhau được chứa ở đâu,hộp,297984,3
có bao nhiêu cái bánh mì nướng đang ngồi trên đĩa uống nước,hai,284008,1
đua xe máy đi quanh một đường cong ở đâu,đường,112841,3
có bao nhiêu con gấu bắc cực nằm dài trên mặt đất của một cái chuồng,hai,269380,1
bồn rửa trắng đang đặt ở đâu,vòi hoa sen,569887,3
những gì gắn vào tường của một tòa nhà,đồng hồ,555748,0
cái đầu của nó ở phía sau của người khác,ngựa rằn,454750,0
những gì bên cạnh lò vi sóng và một máy rửa chén,tủ đá,499480,0
nhóm người tập hợp ở đâu,đường phố,314092,3
có bao nhiêu con ngựa vằn đang gặm cỏ,ba,430551,1
một quả cam và một quả táo đang nằm ở đâu,bát,253890,3
màu của quần short là gì,màu đen,545088,2
màu của xe máy là gì,màu xanh lá,219254,2
người đàn ông cưỡi những gì xuống dốc tuyết phủ,ván trượt,415334,0
con thú nhồi bông nào được treo bên trong cốc cà phê,con mèo,562735,0
một số người một thị trường ngoài trời và một con ngựa nâu kéo những gì,xe đẩy,509766,0
có bao nhiêu phụ nữ đang ngồi bên ngoài một cái cây với hành lý,hai,121056,1
màu của chiếc tàu là gì,màu cam,556647,2
những gì nằm trong hộp giấy,donut,497484,0
màu của cầu là gì,màu tía,181990,2
những gì đậu trên miếng gỗ,con chim,523811,0
màu của chiếc đĩa là gì,màu vàng,324401,2
con mèo đang nằm ở đâu,vali,96517,3
những gì đầy hoa trên sàn nhà,lọ cắm hoa,355632,0
màu của con chim là gì,màu nâu,96257,2
có bao nhiêu con hươu cao cổ đang chạy trên một cánh đồng cỏ trống,hai,419406,1
con mèo đen đang ngồi ở đâu,cái nồi,439132,3
những gì chứa đầy đồ nội thất và một cửa sổ,phòng,578498,0
màu của cỏ là gì,màu xanh lá,447108,2
màu của chiếc ô là gì,màu tía,479593,2
cái gì phủ kem tươi nằm trên bàn,món tráng miệng,527535,0
người đó chụp hình ảnh của mình ở đâu,gương,319197,3
màu sắc của bông hoa là gì,màu tía,16890,2
thuyền được cập cảng ở đâu,bến du thuyền,37123,3
người đàn ông đang giữ và đứng cạnh một người phụ nữ đang cầm ván trượt là gì,trượt tuyết,439658,0
màu của xe buýt là gì,màu xanh dương,128351,2
con mèo nhỏ đang nhìn ở đâu,gương,49810,3
con ngựa đã kéo những gì với những người ở phía sau,xe,500583,0
cái gì đậu trên cành lá,con chim,367433,0
màu của thiên nga là gì,màu trắng,150562,2
người phụ nữ đang làm gì đó ở đâu,phòng bếp,170045,3
có bao nhiêu vận động viên trượt nước đang bay trên không trong khi một đám đông nhỏ quan sát,hai,536648,1
màu của cà vạt là gì,màu xanh lá,445774,2
hoa màu tím và vàng ngồi ở đâu,lọ cắm hoa,325799,3
một người đàn ông lớn ở đâu,ô cửa,232597,3
có bao nhiêu chuối được treo từ người giữ chuối,ba,552755,1
cô gái trẻ với cánh tay bị bó đang ở đâu,phòng tắm,308251,3
có cái gì được cắt trong bồn rửa và trong lọ trong căn bếp màu vàng này,bông hoa,514018,0
con chó đang đội mũ ở đâu,xe ô tô,311190,3
bốn người đàn ông đang sắp xếp và ăn trưa như thế nào,văn phòng,365626,0
cái bồn tắm ngồi dưới cửa sổ,bồn tắm,363784,0
xe tải trắng có cách tiếp cận dấu hiệu gì,cỗ máy,400554,0
có bao nhiêu người đàn ông đang cố gắng bắt trò ném đĩa ở công viên,hai,103252,1
những gì được sắp xếp cạnh nhau với bức tường màu đỏ,đồng hồ,451798,0
đứa trẻ đang ngồi ở đâu,vali,446880,3
màu của ô liu là gì,màu đen,427603,2
có bao nhiêu con voi ở một cánh đồng trống với những con chim bay trên đầu,ba,527337,1
những gì đang đi xuống đường ray xe lửa qua các tòa nhà cao tầng,tàu hỏa,372070,0
màu sắc của đồ chơi là gì,màu đen,308522,2
màu của con chó là gì,màu nâu,235446,2
màu của lông là gì,màu nâu,33567,2
có bao nhiêu con ngựa vằn đứng cạnh nhau trên một cánh đồng cỏ bao phủ,hai,314725,1
bát đĩa vuông đựng gì,chén đĩa,339356,0
có bao nhiêu con hươu cao cổ ăn cỏ khô trong vườn thú,năm,392015,1
con mèo mịn nằm ở đâu,cái ghế,23731,3
xe tay ga ở đâu,ga-ra,569356,3
có bao nhiêu con chó đang ngồi trên các tầng của một khu vườn trống,ba,81766,1
"ghế, máy tính xách tay, máy in và bàn máy tính ngồi ở đâu",nhà ở,128607,3
những gì trong đại dương gần một số cây,con thuyền,385586,0
chuyến tàu chở những gì dừng lại ở một nhà ga xe lửa,xe ô tô,423215,0
những gì đang bay qua đèn đường,máy bay,539226,0
có bao nhiêu người đang chụp ảnh nhóm trong trang phục công sở,bảy,395853,1
con mèo đang ngồi ở đâu,chậu,72605,3
màu của áo khoác là gì,màu xám,516176,2
có bao nhiêu con cừu trên cánh đồng với bề mặt đầy tuyết,bốn,69777,1
màu của tường là gì,màu vàng,147290,2
có bao nhiêu con ngựa vằn đứng xung quanh ngoài tự nhiên,bốn,182240,1
nhóm người đứng ở đâu,sân bay,33743,3
người đàn ông có tai nghe lớn là gì và một chiếc khăn giữ,ván trượt,434689,0
những gì chứa đầy thực phẩm ngồi bên cạnh một cuốn sách,đĩa ăn,487385,0
những gì được nhìn thấy trên đường phố bên ngoài một tòa nhà cao tầng,xe ô tô,412676,0
cặp vợ chồng đang đứng ở đâu,phòng bếp,106228,3
những gì nằm ở trong công viên,vali,572665,0
người phụ nữ đang chụp ảnh ở đâu,gương,342618,3
những chiếc bánh rán nằm ở đâu,hộp,377814,3
một loạt táo xanh và cam ở đâu,hộp,544449,3
hai con chó trắng ngồi ở đâu,xe ô tô,319062,3
có bao nhiêu chiếc máy bay nhỏ ngồi trong giá treo sạch,ba,515684,1
có bao nhiêu chàng trai trẻ cho hai cô gái xem bàn chải đánh răng,hai,411501,1
những gì đang chạy trên bãi biển,con chó,572050,0
những gì trong bình chai bia,bông hoa,400052,0
cái gì đang ngồi trong cái cốc đầy màu sắc,bàn chải,365385,0
có bao nhiêu phụ nữ đang cầm vợt tennis của họ,bốn,551001,1
những gì nằm trên hồ được trang trí với những phản xạ miền núi,con thuyền,427649,0
con mèo đen trắng ngồi ở đâu,thùng chứa,435583,3
ngựa vằn đặt mũi ở đâu,cây,356369,3
có bao nhiêu người đứng với ván trượt tạo dáng chụp ảnh trong tuyết,năm,244577,1
con ngựa vẽ những gì làm cho nó xuống một con đường tuyết,xe,352007,0
những gì dừng lại ở lề đường trên bãi cỏ với hoa,xe đẩy,395752,0
người mặc quần vàng áo xanh lên núi tuyết làm gì,ván trượt,365983,0
màu sắc của các bộ truyền phát là gì,màu xanh dương,142187,2
nướng những gì với rau và khoai tây trên đĩa,thịt,483389,0
giường tầng gỗ được đặt ở đâu,hành lang,159974,3
có nhiều loại rau và trái cây ở đâu,bát,221894,3
những gì nằm bên cạnh xe buýt với những thứ trước mặt nó,xe ô tô,543043,0
nhóm phụ nữ đã tập hợp ở đâu,phòng bếp,490099,3
những mảnh đồ nội thất búp bê khác nhau ở đâu,phòng bếp,115544,3
những gì bên cạnh cây trên đồng bằng,hươu cao cổ,478406,0
màu của ô tô là gì,màu vàng,467311,2
quan điểm của một đường phố vào ban đêm,vòi,412551,0
những gì đỗ yến đến đường ray gần đại dương,xe máy,432309,0
những gì được thiết lập với máy tính xách tay và loa,cái bàn,463876,0
hình ảnh hai con chó ở đâu,con thuyền,271576,3
những gì đi bộ với những chiếc dĩa nhựa gần nước,con chó,546962,0
màu của soda là gì,màu cam,483530,2
có bao nhiêu trường hợp phù hợp với các kích cỡ khác nhau bên cạnh nhau,ba,59385,1
màu của con ngựa là gì,màu đen,61506,2
bẩn những gì bao quanh bởi một tủ kim loại màu xanh lá cây và ống kim loại tiếp xúc,nhà vệ sinh,549817,0
có bao nhiêu con mèo thư giãn trên giường trong một căn phòng sáng,năm,577320,1
đỗ những gì đang đỗ trên đường bằng một vỉa hè,xe buýt,412757,0
màu của băng ghế là gì,màu xanh lá,566835,2
cái gì đang rúc đầu vào đầu của một con bò khác,con bò,475423,0
cái gì đang ngồi trong bồn rửa trong nhà bếp,con chó,365139,0
đâu là bồn rửa đôi,phòng tắm,150920,3
cái gì nằm bên cạnh lốp sau của một chiếc ô tô,con mèo,336372,0
cái gì đang ngủ trên chiếc ghế dài,con chó,393857,0
những gì có đầy hoa màu vàng trên sàn nhà,lọ cắm hoa,366264,0
màu của gạch là gì,màu trắng,547156,2
màu của chiếc tàu là gì,màu xanh lá,324870,2
căn phòng lớn có ngăn kéo và ghế sofa màu nâu và bàn cà phê bằng gỗ có gì?,cái kệ,531622,0
màu mắt là gì,màu vàng,138604,2
con người đang cưỡi gì,con ngựa,576052,0
có bao nhiêu con bò cận cảnh và những con khác đang ăn trong nền,một,340157,1
cái gì đang ngồi trên bàn gỗ,laptop,521995,0
có bao nhiêu chiếc vali màu hồng đứng thẳng trước cửa sổ,ba,125298,1
màu của bảng là gì,màu trắng,70164,2
màu của các tấm là gì,màu trắng,151945,2
màu của chiếc xe đang chạy là gì,màu cam,548893,2
màu của nón là gì,màu cam,116771,2
bếp trắng cổ điển đang nằm ở đâu,phòng bếp,294934,3
cái gì đang lướt qua vùng nước,con thuyền,499393,0
những gì đi dọc trên bãi biển với các thành viên khác của loại hình này,con chim,502715,0
những gì được phép phát triển trong chai bia,bông hoa,515885,0
con chó nhìn ra cửa sổ ở đâu,xe ô tô,119805,3
một cửa sổ mở nhìn ra một thành phố ở đâu,phòng ngủ,91716,3
những gì đỗ bên nhà với một cánh cửa màu đỏ,xe đạp,428847,0
những gì được bao phủ trong những chiếc túi kiểu dáng khác nhau,băng ghế,532463,0
màu của cỏ là gì,màu xanh lá,257751,2
hotdog được chứa ở đâu,hộp,430533,3
cặp xúc xích ở đâu,cái rổ,429335,3
làm gì trong khu vực rộng lớn đứng đằng sau một khu vực có hàng rào,hươu cao cổ,528862,0
màu của cạnh là gì,màu xanh lá,267454,2
cái gì đang kéo chiếc máy bay lớn,xe ô tô,525344,0
anh chàng ngồi trên nhà vệ sinh hút gì,thuốc lá,474095,0
ngồi trên một chiếc ghế nhỏ làm bằng gỗ,con chó,461156,0
có bao nhiêu người phụ nữ đứng quanh con chó trên dây xích,bốn,482021,1
màu sắc của trang phục là gì,màu đen,396871,2
những gì dành riêng cho vải trắng với vali ra phía trước,tường,434915,0
cái gì trên một chồng hộp,máy vi tính,531784,0
cặp vợ chồng ở đâu,ván lướt sóng,496552,3
có bao nhiêu chiếc bánh mì tàu ngầm trên bàn bên cạnh một tách cà phê,ba,403593,1
gấu bắc cực đang đi lang thang ở đâu,bồn tắm,323583,3
một người và vali ở đâu,xe tải,438841,3
những gì sắp xếp gọn gàng trong chiếc bình trong vắt chứa đầy nước,bông hoa,521282,0
màu của con bò là gì,màu đen,250284,2
nhóm đầu bếp nấu ăn ở đâu,phòng bếp,16125,3
người phụ nữ ăn bánh rán ở đâu,cửa tiệm,44170,3
những gì đứng trên rìa của một đường sắt,con chim,388902,0
giường đang ngồi ở đâu,phòng ngủ,80159,3
tàu hơi nước dừng ở đâu,tòa nhà,391158,3
có bao nhiêu người đàn ông đang đội một chiếc mũ ô,một,152819,1
"những gì, bạn của họ nhìn vào",con chó,335851,0
mèo con đang ở đâu,phòng tắm,184557,3
người đàn ông đang nhảy lên để bắt một chiếc dĩa nhựa ở đâu,hồ bơi,170476,3
người phụ nữ đơn độc đứng ở đâu,phòng bếp,103231,3
hai người phụ nữ mặc những gì đứng gần hàng rào,mũ,423715,0
"cái đầu gì, há miệng ra để cắn vào hàng rào gỗ",hươu cao cổ,531000,0
con chim đang đứng ở đâu,tòa nhà,191262,3
những gì đỗ trên đường phố bằng một đồng hồ đỗ xe,xe ô tô,387150,0
nhóm người đứng ở đâu,phòng bếp,561323,3
những gì đỗ dưới những cây trong công viên,xe máy,510755,0
màu của cái bát là gì,màu đỏ,457381,2
có bao nhiêu con chim xám lớn đi ngang qua sân,ba,162682,1
màu của chiếc đĩa là gì,màu xanh lá,486609,2
có bao nhiêu con ngựa vằn đang đứng trên cỏ bên cây,ba,504635,1
hai người làm đầy bánh tortilla ở đâu,phòng bếp,425137,3
màu của con ngựa là gì,màu nâu,479929,2
bông hoa màu hồng ở đâu,lọ cắm hoa,339007,3
có bao nhiêu sĩ quan cảnh sát trên xe máy trước một đám đông,ba,301602,1
người phụ nữ với một chiếc ô đang ngồi ở đâu,cái ghế,464317,3
màu của dấu hiệu là gì,màu vàng,443735,2
những gì đang đi trên cánh đồng cỏ,con ngựa,518255,0
những gì đỗ bên cạnh xe máy khác,xe máy,561037,0
con mèo đang ngồi ở đâu,tủ lạnh,191156,3
màu của yếm là gì,màu vàng,557685,2
người ngồi ở đâu,phòng tắm,350206,3
có bao nhiêu con hươu cao cổ đều quan tâm đến hoạt động ở tòa nhà sở thú,ba,8300,1
những gì đang ở trong túi hành lý,máy vi tính,578553,0
hai người đang ở đâu,phòng ngủ,37326,3
màu của con voi là gì,màu tía,253221,2
một con mèo cam đang ngồi ở đâu,cái túi,327328,3
những gì chia sẻ cành mà họ đang ăn,hươu cao cổ,420472,0
màu của gấu là gì,màu nâu,274184,2
cái gì đang đứng trong bồn rửa,con chó,365139,0
có bao nhiêu chiếc máy bay đóng thế đang bay rất gần nhau,bốn,161973,1
hai con chó nằm ở đâu,giường,210958,3
màu sắc của bông hoa là gì,màu tía,332723,2
cái gì vươn tới thân cây của nó qua hàng rào về phía một đứa trẻ,con voi,350897,0
những gì được bao quanh bởi đá trên tường,nhà vệ sinh,389128,0
có gì đứng sau những bụi cây trong tự nhiên,hươu cao cổ,458572,0
có bao nhiêu người thả diều vào một ngày trời quang đãng,hai,86344,1
màu của cổng là gì,màu xanh dương,258671,2
những gì trong cỏ bị trói,con ngựa,527504,0
màu của những đám mây là gì,màu xám,157610,2
những gì lái dưới cổng vòm châu á màu đỏ,xe ô tô,488573,0
những gì đang ngồi trên đỉnh của một con đường,máy bay,575198,0
trượt ván màu đen đang làm một mánh khóe ở đâu,hồ bơi,237658,3
những gì đứng đầu với các loại thực phẩm và kem khác nhau,đĩa ăn,542777,0
hoa hướng dương lớn được hiển thị ở đâu,lọ cắm hoa,457261,3
người giữ gì với hai quả táo đỏ gần người đi bộ giữ ô,đĩa ăn,537506,0
có bao nhiêu người đàn ông đang làm việc trên mái tóc của một người phụ nữ,hai,545944,1
màu của gấu là gì,màu đen,307016,2
màu sắc của các phân khúc là gì,màu cam,85902,2
hai chiếc xe đạp và một bãi đậu mô tô ở đâu,giá đỡ,356496,3
cái gì đang ngồi trên thảm trước cửa,con mèo,466339,0
màu của chiếc bình là gì,màu xanh lá,528127,2
người trượt ván đang biểu diễn một mánh khóe ở đâu,tòa nhà,114703,3
màu của con mèo là gì,màu đen,424760,2
các loại thực phẩm với nước sốt phục vụ ở đâu,bát,179696,3
xe tải dozer màu đỏ ở đâu,đường phố,64953,3
những gì đứng trên cỏ gần nước,con voi,580951,0
xe máy màu đỏ đậu ở đâu,đường phố,373128,3
cái gì đang ngồi trên bàn,laptop,494427,0
những gì đang ngồi trên một giỏ bánh mì gần một tờ báo,con chim,527040,0
màu của áo là gì,màu xanh lá,196406,2
cô bé nằm ở đâu,giường,369338,3
những gì ngồi trên khăn ăn bên cạnh bát súp,sandwich,497439,0
người phụ nữ nằm ở đâu,giường,516043,3
cái gì kéo xe trên một con phố cổ,con ngựa,522990,0
trên bàn có bao nhiêu chiếc bánh pizza phủ đầy rau,hai,188850,1
màu của xe máy là gì,màu đỏ,449889,2
màu của chiếc đĩa là gì,màu xanh dương,183171,2
màu của ván trượt tuyết là gì,màu xanh dương,425497,2
những gì đứng với nhiều loại trái cây trong hộp và giỏ treo,hoa quả,419350,0
những gì nằm trên bề mặt bởi một tấm gương,điện thoại,511403,0
đang chơi gì với đĩa bay trong tuyết,con chó,359569,0
những gì đang lái xe khỏi nhà máy điện hạt nhân,tàu hỏa,428168,0
cái gì trong bát màu xanh lá cây,rau xà lách,566687,0
những gì đang đứng trong cánh đồng xanh rộng lớn,hươu cao cổ,491481,0
màu của băng ghế là gì,màu trắng,62392,2
màu của xe buýt là gì,màu đỏ,573485,2
cái gì đã xô ngã nó trên một ngọn núi tuyết bao phủ,xe buýt,497791,0
những gì trông không hấp dẫn và nướng không đều,pizza,566920,0
màu của chiếc đĩa là gì,màu xanh dương,461361,2
gương đánh bóng và một ổ cắm,vòi hoa sen,394517,0
những gì được trang trí với nghệ thuật và chuỗi đầy màu sắc,tường,499588,0
những gì đỗ trên đỉnh của một sân bay,máy bay,423837,0
màu của lá là gì,màu đỏ,534331,2
những gì đang bay trong bầu trời nhiều mây,máy bay,524186,0
những gì thể hiện một bát lớn trái cây nêm,những quả cam,523100,0
màu của xe là gì,màu đỏ,93232,2
màu của bầu trời là gì,màu xám,5500,2
màu của tàu điện ngầm là gì,màu xanh lá,428740,2
người đàn ông đang ngồi ở đâu,xe ô tô,428149,3
có bao nhiêu thuyền buồm ngồi mà không có buồm trong một con sông cạn,hai,444722,1
người đàn ông thích nấu ăn ở đâu,chảo,410627,3
người phụ nữ làm bánh sandwich bơ đậu phộng ở đâu,phòng bếp,262407,3
màu của chân là gì,màu đen,333280,2
màu của chiếc ô là gì,màu đỏ,22409,2
người đàn ông đang đánh răng ở đâu,phòng tắm,476151,3
